Feature,Importance
duration,0.3271165394873147
balance,0.08211334069340881
age,0.07072205241227181
day,0.06887335726628108
poutcome_success,0.03690260663072966
campaign,0.036768764021666706
pdays,0.033083121677321685
contact_unknown,0.031614742172525974
housing_yes,0.024763351901239253
previous,0.018771463441338582
month_may,0.014359043606978653
month_mar,0.011704897078592506
poutcome_unknown,0.01158458097666045
education_secondary,0.011180639920763338
loan_yes,0.011173383336611385
marital_married,0.01100812385201415
month_oct,0.010957685136074119
month_aug,0.01085597159876065
education_tertiary,0.010263915381256523
month_jun,0.010097948364131424
marital_single,0.009831392808265142
month_jul,0.009730524964314096
job_blue-collar,0.009472464240433673
job_technician,0.009462390161768894
month_nov,0.009393298491305064
job_management,0.009328362480026562
month_feb,0.00921751566279123
age_group_26-35,0.00857370358336603
age_group_36-45,0.008421100514749818
age_group_46-60,0.007547128034581361
age_group_60+,0.0072091359424399865
job_services,0.006212689035865383
contact_telephone,0.005944377395144337
month_sep,0.005417694353744801
job_student,0.00534977760346193
month_jan,0.005040593671973268
education_unknown,0.004512986299896807
job_unemployed,0.0038185463214074475
job_self-employed,0.0038006684307285107
job_retired,0.0037089896679665477
poutcome_other,0.003318502018050081
job_entrepreneur,0.0032881871238390915
job_housemaid,0.002662418834433871
month_dec,0.0023094525319022185
default_yes,0.0015229291649162741
job_unknown,0.0009896417066860028
